01;administracao
02;agronomia
03;arquitetura
04;biomedicina
05;biotecnologia
06;ciencia da computacao
07;ciencias ambientais
08;ciencias biologicas
09;ciencias contabeis
10;ciencias economicas
11;comunicacao social
12;engenharia ambiental
13;engenharia civil
14;engenharia de alimentos
15;engenharia de computacao
16;engenharia de materiais
17;engenharia de producao
18;engenharia de software
19;engenharia de transportes
20;engenharia eletrica
21;engenharia florestal
22;engenharia fisica
23;engenharia mecanica
24;engenharia quimica
25;estatistica
26;farmacia
27;fisioterapia
28;fisica bacharelado
29;fisica licenciatura
30;geologia
31;gestao da informacao
32;instituto de fisica
33;instituto de quimica
34;inteligencia artificial
35;matematica
36;medicina
37;nutricao
38;psicologia
39;quimica bacharelado
40;quimica licenciatura
41;relacoes internacionais
42;relacoes publicas
43;sistemas de informacao
44;zootecnia
